run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resent_txs,236,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resend_time,2208915,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,confirm_phase,2209196,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,write_chunks,3684464,108
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,final_tx,1705017,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,total_deploy,9073629,108600
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,wall,10159899,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,client_setup,1216358,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,first_send,3,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,send_phase,1071114,108
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resend_rounds,2,108
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resent_txs,8,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resend_time,71737,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,confirm_phase,1732002,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,write_chunks,3205893,108
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,quic_sent,116,108
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,final_tx,1704436,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,total_deploy,8541760,108600
2,clean,,tpu_next,jupiter-v6,2892224,success,wall,20523449,0
2,clean,,tpu_next,jupiter-v6,2892224,success,client_setup,399,0
2,clean,,tpu_next,jupiter-v6,2892224,success,first_send,4,0
2,clean,,tpu_next,jupiter-v6,2892224,success,send_phase,18652496,1866
2,clean,,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,81
2,clean,,tpu_next,jupiter-v6,2892224,success,resent_txs,81,0
2,clean,,tpu_next,jupiter-v6,2892224,success,resend_time,801775,0
2,clean,,tpu_next,jupiter-v6,2892224,success,confirm_phase,801843,0
2,clean,,tpu_next,jupiter-v6,2892224,success,write_chunks,19485426,1866
2,clean,,tpu_next,jupiter-v6,2892224,success,quic_sent,1946,1866
2,clean,,tpu_next,jupiter-v6,2892224,success,final_tx,510514,0
2,clean,,tpu_next,jupiter-v6,2892224,success,total_deploy,20503088,2892224
2,clean,,baseline,jupiter-v6,2892224,success,wall,20661809,0
2,clean,,baseline,jupiter-v6,2892224,success,client_setup,507,0
2,clean,,baseline,jupiter-v6,2892224,success,first_send,1074,0
2,clean,,baseline,jupiter-v6,2892224,success,send_phase,18653556,1866
2,clean,,baseline,jupiter-v6,2892224,success,resend_rounds,1,92
2,clean,,baseline,jupiter-v6,2892224,success,resent_txs,92,0
